DataFrame,Model,RMSE,R2
PRU_target90,GBRT_d4_lr005,0.139678,-1.306631
PRU_target90,GBRT_d5_lr001,0.121715,-0.680539
PRU_target90,GBRT_d5_lr005,0.135879,-1.237201
PRU_target90,MLP_64_relu_lr0005,0.281832,-13.100865
PRU_target90,MLP_64_relu_lr001,0.290967,-14.4876
PRU_target90,MLP_64_relu_lr005,0.283182,-12.655933
PRU_target90,MLP_64_relu_lr01,0.248292,-9.498508
TRV_target30,Srbf_C1_e01_gscale,0.049607,-0.783984
TRV_target30,Srbf_C1_e01_g001,0.040191,-0.088587
TRV_target30,Srbf_C1_e01_g01,0.043316,-0.314553
TRV_target30,Srbf_C1_e05_gscale,0.04428,-0.371496
TRV_target30,Srbf_C1_e05_g001,0.039707,-0.08
TRV_target30,Srbf_C1_e05_g01,0.043649,-0.318295
TRV_target30,Srbf_C10_e01_gscale,0.058288,-1.495873
